Tageszeit;-17;-16;-15;-14;-13;-12;-11;-10;-9;-8;-7;-6;-5;-4;-3;-2;-1;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
15:00:00;1,0447;1,0448;1,0394;1,0323;1,0233;1,0125;0,9999;0,9856;0,9695;0,9516;0,9247;0,9109;0,8880;0,8635;0,8400;0,8147;0,7875;0,7614;0,7304;0,6975;0,6421;0,5887;0,5359;0,4843;0,4341;0,3851;0,3374;0,2910;0,2458;0,2018;0,1590;0,1183;0,0777;0,0375;0,0045
15:15:00;1,0428;1,0429;1,0376;1,0304;1,0214;1,0107;0,9981;0,9838;0,9677;0,9499;0,9231;0,9093;0,8864;0,8619;0,8385;0,8133;0,7861;0,7601;0,7291;0,6963;0,6410;0,5876;0,5349;0,4835;0,4333;0,3845;0,3368;0,2905;0,2453;0,2014;0,1587;0,1181;0,0776;0,0374;0,0045
15:30:00;1,0379;1,0379;1,0326;1,0255;1,0166;1,0059;0,9934;0,9791;0,9631;0,9454;0,9187;0,9049;0,8822;0,8578;0,8346;0,8094;0,7824;0,7565;0,7256;0,6930;0,6380;0,5848;0,5324;0,4812;0,4313;0,3826;0,3352;0,2891;0,2442;0,2005;0,1580;0,1175;0,0772;0,0373;0,0045
15:45:00;1,0381;1,0382;1,0329;1,0258;1,0168;1,0061;0,9936;0,9794;0,9634;0,9457;0,9189;0,9052;0,8824;0,8580;0,8348;0,8096;0,7826;0,7567;0,7258;0,6931;0,6381;0,5850;0,5325;0,4813;0,4314;0,3827;0,3353;0,2892;0,2442;0,2005;0,1580;0,1175;0,0772;0,0373;0,0045
16:00:00;1,0446;1,0447;1,0393;1,0322;1,0232;1,0124;0,9998;0,9855;0,9694;0,9516;0,9246;0,9108;0,8879;0,8634;0,8400;0,8147;0,7874;0,7614;0,7303;0,6975;0,6421;0,5886;0,5358;0,4843;0,4341;0,3851;0,3374;0,2910;0,2458;0,2018;0,1590;0,1183;0,0777;0,0375;0,0045
16:15:00;1,0481;1,0482;1,0428;1,0356;1,0266;1,0158;1,0032;0,9888;0,9726;0,9547;0,9277;0,9139;0,8909;0,8663;0,8428;0,8174;0,7901;0,7639;0,7328;0,6998;0,6442;0,5906;0,5376;0,4859;0,4355;0,3864;0,3385;0,2919;0,2466;0,2025;0,1596;0,1187;0,0779;0,0376;0,0046
16:30:00;1,0553;1,0553;1,0500;1,0427;1,0336;1,0227;1,0100;0,9955;0,9793;0,9613;0,9341;0,9201;0,8970;0,8722;0,8486;0,8230;0,7955;0,7692;0,7378;0,7046;0,6487;0,5946;0,5413;0,4893;0,4385;0,3890;0,3409;0,2939;0,2483;0,2038;0,1606;0,1195;0,0785;0,0379;0,0046
16:45:00;1,0567;1,0568;1,0514;1,0442;1,0351;1,0241;1,0114;0,9969;0,9806;0,9626;0,9354;0,9214;0,8982;0,8734;0,8497;0,8241;0,7966;0,7702;0,7388;0,7056;0,6495;0,5955;0,5420;0,4899;0,4391;0,3896;0,3413;0,2943;0,2486;0,2041;0,1609;0,1197;0,0786;0,0379;0,0046
17:00:00;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
17:15:00;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
