Datum,Kapazität in kWh,Restkapazität in kWh,Einspeisung in kWh
2030-10-18 22:30:00,9250000.0,9248866.296817083,-1133.703182916197
2030-10-18 22:45:00,9250000.0,9249066.551302498,-933.4486975009531
2030-10-18 23:00:00,9250000.0,9249258.49311745,-741.5068825496382
2030-10-18 23:15:00,9250000.0,9249373.797283443,-626.2027165573163
2030-10-18 23:30:00,9250000.0,9249624.377457237,-375.6225427629579
2030-10-18 23:45:00,9250000.0,9249633.46313718,-366.53686282098715
2030-10-19 00:00:00,9250000.0,9249963.43553141,-36.56446859040079
2030-10-19 00:15:00,9250000.0,9250000.0,0.0
2030-10-19 00:30:00,9250000.0,9250000.0,0.0
2030-10-19 00:45:00,9250000.0,9250000.0,0.0
2030-10-19 01:00:00,9250000.0,9250000.0,0.0
2030-10-19 01:15:00,9250000.0,9250000.0,0.0
2030-10-19 01:30:00,9250000.0,9250000.0,0.0
2030-10-19 01:45:00,9250000.0,9250000.0,0.0
2030-10-19 02:00:00,9250000.0,9250000.0,0.0
2030-10-19 02:15:00,9250000.0,9250000.0,0.0
2030-10-19 02:30:00,9250000.0,9250000.0,0.0
2030-10-19 02:45:00,9250000.0,9250000.0,0.0
2030-10-19 03:00:00,9250000.0,9250000.0,0.0
2030-10-19 03:15:00,9250000.0,9250000.0,0.0
2030-10-19 03:30:00,9250000.0,9250000.0,0.0
2030-10-19 03:45:00,9250000.0,9250000.0,0.0
2030-10-19 04:00:00,9250000.0,9250000.0,0.0
2030-10-19 04:15:00,9250000.0,9250000.0,0.0
2030-10-19 04:30:00,9250000.0,9250000.0,0.0
2030-10-19 04:45:00,9250000.0,9250000.0,0.0
2030-10-19 05:00:00,9250000.0,9250000.0,0.0
2030-10-19 05:15:00,9250000.0,9250000.0,0.0
2030-10-19 05:30:00,9250000.0,9250000.0,0.0
2030-10-19 05:45:00,9250000.0,9250000.0,0.0
2030-10-19 06:00:00,9250000.0,9247920.364453608,-2079.635546391877
2030-10-19 06:15:00,9250000.0,9245942.318025341,-4057.6819746596575
2030-10-19 06:30:00,9250000.0,9245071.92808763,-4928.071912370635
2030-10-19 06:45:00,9250000.0,9244424.72966416,-5575.270335840736
2030-10-19 07:00:00,9250000.0,9243915.013017807,-6084.986982193759
2030-10-19 07:15:00,9250000.0,9243266.667869784,-6733.3321302152235
2030-10-19 07:30:00,9250000.0,9242949.505990993,-7050.4940090076325
2030-10-19 07:45:00,9250000.0,9242714.71339644,-7285.2866035615025
2030-10-19 08:00:00,9250000.0,9242348.290971464,-7651.7090285366885
2030-10-19 08:15:00,9250000.0,9242238.681530755,-7761.31846924568
2030-10-19 08:30:00,9250000.0,9242176.323498763,-7823.676501236099
2030-10-19 08:45:00,9250000.0,9242317.902524369,-7682.09747563121
2030-10-19 09:00:00,9250000.0,9242466.994741771,-7533.005258228015
2030-10-19 09:15:00,9250000.0,9242594.645238567,-7405.354761433015
2030-10-19 09:30:00,9250000.0,9242557.965010868,-7442.034989131187
2030-10-19 09:45:00,9250000.0,9242573.766061787,-7426.233938212965
2030-10-19 10:00:00,9250000.0,9242623.261597916,-7376.738402083585
2030-10-19 10:15:00,9250000.0,9242820.191097494,-7179.80890250536
2030-10-19 10:30:00,9250000.0,9242805.241223179,-7194.758776821922
2030-10-19 10:45:00,9250000.0,9242755.242597504,-7244.7574024970745
2030-10-19 11:00:00,9250000.0,9242770.830443854,-7229.169556146411
2030-10-19 11:15:00,9250000.0,9242720.942032697,-7279.057967303943
2030-10-19 11:30:00,9250000.0,9242505.532162081,-7494.467837917618
