Datum,Differenz,Speicher,Netz
2030-05-05 22:15:00,8363.445832539403,2000.0,8363.445832539403
2030-05-05 22:30:00,8164.203313201362,2000.0,8164.203313201362
2030-05-05 22:45:00,7964.83849466406,2000.0,7964.83849466406
2030-05-05 23:00:00,7834.382424814239,2000.0,7834.382424814239
2030-05-05 23:15:00,7703.318111720122,2000.0,7703.318111720122
2030-05-05 23:30:00,7552.117787856008,2000.0,7552.117787856008
2030-05-05 23:45:00,7413.738091914641,2000.0,7413.738091914642
2030-05-06 00:00:00,7308.526630208621,2000.0,7308.52663020862
2030-05-06 00:15:00,7220.0684456557165,2000.0,7220.068445655717
2030-05-06 00:30:00,7156.35098268162,2000.0,7156.350982681619
2030-05-06 00:45:00,7131.139911673021,2000.0,7131.139911673021
2030-05-06 01:00:00,7086.382428424573,2000.0,7086.382428424573
2030-05-06 01:15:00,7090.643279444002,2000.0,7090.643279444001
2030-05-06 01:30:00,7102.838074973234,2000.0,7102.838074973235
2030-05-06 01:45:00,7234.527342692754,2000.0,7234.527342692754
2030-05-06 02:00:00,7159.201947594186,2000.0,7159.201947594185
