Datum,Produktion EE in MWh,Laden/Einspeisen in MWh,Flexipowerplant Einspeisung in MWh,EE + Speicher + Flexible in MWh
2030-06-25 16:15:00,4713.680001492508,0.0,-5686.86176988586,10400.541771378368
2030-06-25 16:30:00,4835.86043561619,0.0,-5596.932056214695,10432.792491830885
2030-06-25 16:45:00,4799.269929027521,0.0,-5546.772819963879,10346.0427489914
2030-06-25 17:00:00,4757.672792535983,0.0,-5900.371070142128,10658.04386267811
2030-06-25 17:15:00,4740.467939969931,0.0,-5937.326703458246,10677.794643428177
2030-06-25 17:30:00,4810.976465794054,0.0,-6049.819217560085,10860.79568335414
2030-06-25 17:45:00,4743.262250966794,0.0,-6109.034069635503,10852.296320602298
2030-06-25 18:00:00,4547.542702734432,0.0,-6507.753771532365,11055.296474266797
2030-06-25 18:15:00,4658.122751737163,0.0,-6424.673856081292,11082.796607818455
2030-06-25 18:30:00,4659.124143617426,0.0,-6435.173350272502,11094.297493889928
2030-06-25 18:45:00,4597.663307451687,0.0,-6556.88550786204,11154.548815313727
2030-06-25 19:00:00,4640.304607441447,0.0,-6862.244707284697,11502.549314726144
2030-06-25 19:15:00,4702.813719814669,0.0,-6767.4859720002605,11470.29969181493
2030-06-25 19:30:00,4776.922109965402,0.0,-6744.878172479403,11521.800282444805
2030-06-25 19:45:00,4776.123031557689,0.0,-6718.428016892483,11494.551048450172
2030-06-25 20:00:00,4773.013371909282,0.0,-6697.787426972517,11470.800798881799
2030-06-25 20:15:00,4792.28730701457,0.0,-6551.263807324812,11343.551114339381
2030-06-25 20:30:00,4750.2635855137605,0.0,-6597.28790570579,11347.55149121955
2030-06-25 20:45:00,4633.540390907691,0.0,-6582.511523247792,11216.051914155483
2030-06-25 21:00:00,4523.1757050585875,0.0,-6629.625527696597,11152.801232755184
2030-06-25 21:15:00,4481.818377662851,0.0,-6658.982625256823,11140.801002919674
2030-06-25 21:30:00,4630.256474462727,0.0,-6477.544903481921,11107.801377944648
2030-06-25 21:45:00,4730.394600132056,0.0,-6480.657179272226,11211.051779404283
2030-06-25 22:00:00,4919.2251885796095,0.0,-6469.825578179011,11389.05076675862
2030-06-25 22:15:00,4970.123920586484,0.0,-6329.926361936552,11300.050282523036
2030-06-25 22:30:00,5061.737297640752,0.0,-6198.062536767114,11259.799834407866
2030-06-25 22:45:00,5180.052018133705,0.0,-5972.49808472603,11152.550102859735
2030-06-25 23:00:00,5239.297113749645,0.0,-5630.751883645095,10870.04899739474
2030-06-25 23:15:00,5166.830985820133,0.0,-5529.968265065711,10696.799250885844
2030-06-25 23:30:00,5177.938358298639,0.0,-5209.111336258104,10387.049694556743
2030-06-25 23:45:00,5307.633453748278,0.0,-4842.166038003661,10149.799491751939
2030-06-26 00:00:00,5439.363109706474,0.0,-4566.18710824238,10005.550217948854
2030-06-26 00:15:00,5535.243698806879,0.0,-4289.8064601743545,9825.050158981234
2030-06-26 00:30:00,5574.624296279315,0.0,-4106.675840920147,9681.300137199461
2030-06-26 00:45:00,5588.309844837927,0.0,-4031.740629273064,9620.05047411099
2030-06-26 01:00:00,5567.958935932104,0.0,-3932.8413419305934,9500.800277862698
2030-06-26 01:15:00,5476.388244137737,0.0,-4078.661512623903,9555.04975676164
2030-06-26 01:30:00,5432.358741389485,0.0,-4057.190695950864,9489.549437340349
2030-06-26 01:45:00,5381.132788594549,0.0,-4032.666512161756,9413.799300756305
2030-06-26 02:00:00,5298.0267553327685,0.0,-4052.2725071610803,9350.299262493849
2030-06-26 02:15:00,5247.405084233356,0.0,-4078.394598354029,9325.799682587385
2030-06-26 02:30:00,5296.129431484818,0.0,-3992.92175088954,9289.051182374358
2030-06-26 02:45:00,5313.652386701052,0.0,-3937.1495764010206,9250.801963102072
2030-06-26 03:00:00,5282.723886084015,0.0,-4085.3285299761046,9368.05241606012
2030-06-26 03:15:00,5260.08987056654,0.0,-4086.963209165222,9347.053079731762
2030-06-26 03:30:00,5104.286435400249,0.0,-4244.768465991019,9349.054901391268
2030-06-26 03:45:00,4949.444247321246,0.0,-4481.611579163911,9431.055826485157
2030-06-26 04:00:00,4778.354683178981,0.0,-4785.451512005608,9563.806195184588
2030-06-26 04:15:00,4666.639504999217,0.0,-4942.166953485164,9608.806458484381
2030-06-26 04:30:00,4585.517208426999,0.0,-5063.539489187492,9649.056697614491
2030-06-26 04:45:00,4515.619028073308,0.0,-5234.187986246738,9749.807014320046
2030-06-26 05:00:00,4472.476754033799,0.0,-5505.07981561697,9977.55656965077
2030-06-26 05:15:00,4411.343937237206,0.0,-5779.962693538127,10191.306630775332
2030-06-26 05:30:00,4278.40423532428,0.0,-6240.652880766971,10519.057116091251
2030-06-26 05:45:00,4197.650718057133,0.0,-6682.906295879207,10880.55701393634
2030-06-26 06:00:00,3995.807320784403,0.0,-7540.249431591856,11536.056752376258
2030-06-26 06:15:00,3929.7941667937334,0.0,-8151.512546746373,12081.306713540107
2030-06-26 06:30:00,3901.341429154181,0.0,-8601.465409667439,12502.80683882162
2030-06-26 06:45:00,3901.2029067288277,0.0,-8934.853621012426,12836.056527741253
2030-06-26 07:00:00,3988.0921044647594,0.0,-9190.213354114454,13178.305458579212
